EVENT_DATE_KEY,TSN,SEARCH_TEXT,UI_VALUE_DESC_01,UI_VALUE_DESC_02,UI_VALUE_DESC_03,UI_VALUE_DESC_04,SEARCH_CONTEXT,MATCH,,
20150815,8400001903367EA,vee,veep,NA,NA,NA,FALSE,1,1,
20150815,420836516BCC6AE42110AE1FC39CD7EB,stree,streetdance,NA,NA,NA,FALSE,1,1,
20150815,420836516BCC6AE42110AE1FC39CD7EB,stree,streetdance,NA,NA,NA,FALSE,1,1,
20150815,420836516BCC6AE42110AE1FC39CD7EB,stree,streetdance,NA,NA,NA,FALSE,1,1,
20150815,521AF72F8D8DC65BFF7BFD1E4426AD15,b,blue,bloods,NA,NA,FALSE,1,1,
20150815,521AF72F8D8DC65BFF7BFD1E4426AD15,b,blue,bloods,NA,NA,FALSE,1,1,
20150815,521AF72F8D8DC65BFF7BFD1E4426AD15,b,blue,bloods,NA,NA,FALSE,1,1,
20150815,521AF72F8D8DC65BFF7BFD1E4426AD15,b,blue,bloods,NA,NA,FALSE,1,1,
20150815,24B9219BEB5907B94EBED3A200F8AA9D,fu,fury,NA,NA,NA,FALSE,1,1,
20150815,24B9219BEB5907B94EBED3A200F8AA9D,fu,fury,NA,NA,NA,FALSE,1,1,
20150815,C71BE5F3792A928BE2CD45E99F1486F4,nf,nfl,preseason,football,NA,FALSE,1,1,
20150815,C71BE5F3792A928BE2CD45E99F1486F4,nf,nfl,total,access,NA,FALSE,1,1,
20150815,C71BE5F3792A928BE2CD45E99F1486F4,nf,nfl,preseason,hq,NA,FALSE,1,1,
20150815,8690A26142B2A8EC379275E19A79C37E,sha,shark,tank,NA,NA,FALSE,1,1,
20150815,8690A26142B2A8EC379275E19A79C37E,sha,shark,tank,NA,NA,FALSE,1,1,
20150815,8690A26142B2A8EC379275E19A79C37E,sha,shameless,NA,NA,NA,FALSE,1,1,
20150815,8690A26142B2A8EC379275E19A79C37E,sha,shameless,NA,NA,NA,FALSE,1,1,
20150815,8690A26142B2A8EC379275E19A79C37E,ga,game,of,thrones,NA,FALSE,1,1,
20150815,8690A26142B2A8EC379275E19A79C37E,ga,game,of,thrones,NA,FALSE,1,1,
20150815,8690A26142B2A8EC379275E19A79C37E,lea,the,league,NA,NA,FALSE,2,1,
20150815,8690A26142B2A8EC379275E19A79C37E,lea,the,league,NA,NA,FALSE,2,1,
20150815,8690A26142B2A8EC379275E19A79C37E,le,the,leftovers,NA,NA,FALSE,2,1,
20150815,8690A26142B2A8EC379275E19A79C37E,le,the,leftovers,NA,NA,FALSE,2,1,
20150815,8690A26142B2A8EC379275E19A79C37E,ra,ray,donovan,NA,NA,FALSE,1,1,
20150815,50E9F9AD583E848ABAAC343DEC2F2E73,ufc,ufc,unleashed,NA,NA,FALSE,1,1,
20150815,50E9F9AD583E848ABAAC343DEC2F2E73,ufc,countdown,to,ufc,NA,FALSE,3,1,
20150815,50E9F9AD583E848ABAAC343DEC2F2E73,nfl,nfl,preseason,football,NA,FALSE,1,1,
20150815,5C58C24EE300EAE32CB95AA40282A1BE,mlb,mlb,baseball,NA,NA,FALSE,1,1,
20150815,5C58C24EE300EAE32CB95AA40282A1BE,dodg,dodgeball:,a,TRUE,underdog,FALSE,1,1,
20150815,74600019059D542,real,real,husbands,of,hollywood,FALSE,1,1,
20150815,74600019059D542,real,real,husbands,of,hollywood,FALSE,1,1,
20150815,74600019059D542,real,real,husbands,of,hollywood,FALSE,1,1,
20150815,240A0575BB1FA0A299F86E6EAE502BAA,ran,randy,to,the,rescue,FALSE,1,1,
20150815,0819B5FE0B9B3845B9349C243D371273,han,hangar,1:00,the,ufo,FALSE,1,1,
20150815,0819B5FE0B9B3845B9349C243D371273,han,hangar,1:00,the,ufo,FALSE,1,1,
20150815,0819B5FE0B9B3845B9349C243D371273,han,hangar,1:00,the,ufo,FALSE,1,1,
20150815,A9200019088C601,the dr,the,drop,NA,NA,FALSE,#N/A,#N/A,
20150815,A9200019088C601,the dr,the,drop,NA,NA,FALSE,#N/A,#N/A,
20150815,D410C759FBC0638E4C10145F3CB81395,m,mlb,baseball,NA,NA,FALSE,1,1,
20150815,D410C759FBC0638E4C10145F3CB81395,m,mlb,baseball,NA,NA,FALSE,1,1,
20150815,953664F25105F7C81F295FD7E9462D0A,downl,buttcamp!,the,unrated,download,FALSE,4,1,
20150815,75820019030997C,pol,poldark,NA,NA,NA,FALSE,1,1,
20150815,75820019030997C,pol,poldark,NA,NA,NA,FALSE,1,1,
20150815,75820019030997C,pol,poldark,NA,NA,NA,FALSE,1,1,
20150815,75820019030997C,pol,poldark,NA,NA,NA,FALSE,1,1,
20150815,846000190735F76,fre,fresh,off,the,boat,FALSE,1,1,
20150815,D4D4FF30411C44FB0E507BA26F052F88,the l,the,leftovers,NA,NA,FALSE,#N/A,#N/A,
20150815,A92000190AF50B5,30,300,NA,NA,NA,FALSE,#N/A,#N/A,
20150815,D1209D9001CDC35,nfl,nfl,preseason,football,NA,FALSE,1,1,
20150815,D1209D9001CDC35,nfl,nfl,preseason,football,NA,FALSE,1,1,
20150815,D1209D9001CDC35,nfl,nfl,preseason,football,NA,FALSE,1,1,
20150815,2B075C75B59C66E4317AA755ADA04E6B,footb,college,football,NA,NA,FALSE,2,1,
20150815,2B075C75B59C66E4317AA755ADA04E6B,footb,nfl,preseason,football,NA,FALSE,3,1,
20150815,2B075C75B59C66E4317AA755ADA04E6B,footba,college,football,NA,NA,FALSE,2,1,
20150815,2B075C75B59C66E4317AA755ADA04E6B,footba,nfl,preseason,football,NA,FALSE,3,1,
20150815,692FF262924963677AB3D66F6F49713F,fr,frozen,NA,NA,NA,FALSE,1,1,
20150815,2353C90C17484B8DDC9676246A4CCB6D,dow,downton,abbey,NA,NA,FALSE,1,1,
20150815,237B8F1B7F5731DC68FBD88C3CC2B263,go,pga,tour,golf,NA,FALSE,3,1,
20150815,7460001905E69FE,s,scandal,NA,NA,NA,FALSE,1,1,
20150815,7460001905E69FE,s,sons,of,anarchy,NA,FALSE,1,1,
20150815,7460001905E69FE,s,sons,of,anarchy,NA,FALSE,1,1,
20150815,8484001904A69B7,gr,grown,ups,2,NA,FALSE,1,1,
20150815,171C2D4E9B008D5DA530722EB8510E39,powe,power,NA,NA,NA,FALSE,1,1,
20150815,180DB91F728D4174FCF6918834AAAD24,p,power,NA,NA,NA,FALSE,1,1,
20150815,180DB91F728D4174FCF6918834AAAD24,po,power,NA,NA,NA,FALSE,1,1,
20150815,180DB91F728D4174FCF6918834AAAD24,po,power,NA,NA,NA,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,59C04995B23C831D30E40A1890DAD677,tw,two,and,a,half,FALSE,1,1,
20150815,74600019098EE85,heartlan,heartland,table,NA,NA,FALSE,1,1,
20150815,74600019098EE85,heartlan,heartland,table,NA,NA,FALSE,1,1,
20150815,74600019098EE85,heartlan,heartland,table,NA,NA,FALSE,1,1,
20150815,8460001904332EA,maz,the,maze,runner,NA,FALSE,2,1,
20150815,5B6353E7CFDBC5FDF0EA4AADF9412881,gro,grown,ups,2,NA,FALSE,1,1,
20150815,5B6353E7CFDBC5FDF0EA4AADF9412881,gro,grown,ups,2,NA,FALSE,1,1,
20150815,5B6353E7CFDBC5FDF0EA4AADF9412881,gro,grown,ups,2,NA,FALSE,1,1,
20150815,5B6353E7CFDBC5FDF0EA4AADF9412881,gro,grown,ups,2,NA,FALSE,1,1,
20150815,5B6353E7CFDBC5FDF0EA4AADF9412881,gro,grown,ups,2,NA,FALSE,1,1,
